time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_S03,inlet_V,m_in_main,m_in_side,m_out_main,m_out_side,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_S03,outlet_V
31.110000000058,-0.0001474227258037,668.15033735923,492.99134627118,134.99134627118,0.027166952755244,0.42481892607404,-0.83001747988693,-0.82930748793381,0.82881663093676,0.83093991329243,-0.14706316177546,668.00327419745,-358,0.063884468036661,0.42465828131349
31.115000000058,-7.5323453975495e-05,667.58973205543,492.63069543569,134.63069543569,0.027042806086201,0.42481849519937,-0.83001747988693,-0.82930664680464,0.8288353953143,0.8309191686518,-0.075139740071248,667.51459231536,-358,0.063736758646635,0.42464764645391
31.120000000058,-0.00014675775881839,668.17263628389,493.00829259575,135.00829259575,0.026919094843029,0.42481800470697,-0.83001747988693,-0.8293056892931,0.82885543588544,0.83089706225117,-0.14639981664463,668.02623646725,-358,0.063588984492207,0.4246366419226
31.125000000058,-0.00023023012381893,668.82480602769,493.4281457086,135.4281457086,0.026795818606912,0.4248170367291,-0.83001747988693,-0.82930379966144,0.8288754314347,0.83087394418867,-0.22966859254693,668.59513743515,-358,0.063441182486068,0.42462541503673
31.130000000058,-0.00011977643384759,667.91447111044,492.83762864303,134.83762864303,0.026672976891505,0.42481616011302,-0.83001747988693,-0.82930208838108,0.82889524100624,0.83085132076887,-0.11948429912544,667.79498681131,-358,0.063293317999242,0.42461467647474
31.135000000058,-0.00014167049715274,668.1175796325,492.97140566029,134.97140566029,0.026550569097274,0.42481554086369,-0.83001747988693,-0.82930087951755,0.82891541981203,0.83082958765289,-0.14132496281019,667.97625466969,-358,0.063145280897562,0.42460454834436
31.140000000058,-0.0001601128282091,668.29704412699,493.09027440146,135.09027440146,0.026428594677262,0.42481474421311,-0.83001747988693,-0.82929932434135,0.82893523014112,0.83080826681539,-0.1597223130211,668.13732181397,-358,0.062996900634183,0.42459469184473
31.145000000058,-0.00016195040501464,668.27815411936,493.0749805988,135.0749805988,0.0263070530861,0.42481399872994,-0.83001747988693,-0.82929786905125,0.82895553749374,0.83078718320023,-0.16155540797681,668.11659871138,-358,0.062847975223508,0.42458491552027
31.150000000058,-0.0002001193842208,668.57509186761,493.26602256426,135.26602256426,0.026185943809999,0.424812992613,-0.83001747988693,-0.82929590496665,0.8289754904666,0.830765846794,-0.19963129304269,668.37546057457,-358,0.06269830581928,0.42457486676264
31.155000000058,-0.00011798291934814,667.94862770538,492.86415686079,134.86415686079,0.02606526627846,0.42481221135426,-0.83001747988693,-0.82929437983751,0.82899561622581,0.83074463716944,-0.11769515900785,667.83093254637,-358,0.0625477257038,0.42456464388266
31.160000000058,-0.00018271212491453,668.43440862811,493.17501264802,135.17501264802,0.025945019888677,0.42481140898426,-0.83001747988693,-0.82929281349616,0.82901474253134,0.83072351236942,-0.18226649004186,668.25214213807,-358,0.062396114482497,0.42455414400072
31.165000000058,-0.00015972416441763,668.2510370515,493.05660697736,135.05660697736,0.025825204070866,0.42481052227814,-0.83001747988693,-0.82929108251861,0.82903240217745,0.83070294355464,-0.15933459718062,668.09170245432,-358,0.062243393417546,0.42454354466627
31.170000000058,-0.00017066097920395,668.36605366167,493.13343832073,135.13343832073,0.025705818243512,0.42480971075087,-0.83001747988693,-0.82928949830095,0.82904892951544,0.83068361349995,-0.17024473707568,668.1958089246,-358,0.062089506845934,0.42453315183439
31.175000000058,-0.00015167680091119,668.18385624616,493.01295157562,135.01295157562,0.025586861825576,0.42480886248952,-0.83001747988693,-0.8292878423731,0.82906408734567,0.83066570088791,-0.15130686119376,668.03254938497,-358,0.06193440172111,0.42452303469025
31.180000000058,-0.00013276744520839,668.05830182103,492.9342126905,134.9342126905,0.025468334172328,0.42480816156885,-0.83001747988693,-0.8292864740754,0.8290788863735,0.83064884586462,-0.13244362540953,667.92585819562,-358,0.061778020469526,0.42451300676812
31.185000000058,-0.00015731405349784,668.26464169518,493.06842164625,135.06842164625,0.025350234657727,0.42480754871696,-0.83001747988693,-0.8292852777006,0.82909362665845,0.83063253443747,-0.15693036452135,668.10771133066,-358,0.061620319180675,0.42450282106589
31.190000000058,-0.00025429748707743,669.059903693,493.58393095018,135.58393095018,0.02523256273521,0.42480649940117,-0.83001747988693,-0.82928322928564,0.82910748687176,0.83061607454697,-0.25367725550645,668.8062264375,-358,0.061461312976604,0.42449215663307
31.195000000058,-0.00027144155468475,669.15916765895,493.64456690053,135.64456690053,0.025115317882824,0.42480510319016,-0.83001747988693,-0.82928050368146,0.82912060464188,0.83059949372258,-0.27077950873287,668.88838815022,-358,0.061301133736867,0.4244810774151
31.200000000058,-0.00017511712094789,668.37535086713,493.13701908254,135.13701908254,0.024998499511125,0.42480391220499,-0.83001747988693,-0.82927817870754,0.82913357945905,0.83058400436341,-0.1746900102899,668.20066085684,-358,0.061140077635936,0.4244702710858
31.205000000058,-8.1782730438755e-05,667.61697984321,492.64604913716,134.64604913716,0.024882106859079,0.42480330649321,-0.83001747988693,-0.82927699627124,0.82914602784673,0.83057084832451,-0.081583262359215,667.53539658085,-358,0.060978621147651,0.42446046145826
31.210000000058,4.0957371329703e-06,666.9622665551,492.22609026032,134.22609026032,0.02476613914247,0.42480319892326,-0.83001747988693,-0.82927678627927,0.82915790614559,0.83056042300981,0.004085747630103,666.96635230273,-358,0.060817390543188,0.42445196169903
31.215000000058,-9.0394033929183e-05,667.74526925733,492.73438796639,134.73438796639,0.024650595653476,0.42480302101283,-0.83001747988693,-0.82927643897259,0.82916851941045,0.83055229143908,-0.09017356288043,667.65509569445,-358,0.060657086809473,0.42444467552133
31.220000000058,-0.00016685670873812,668.36604004434,493.13622900303,135.13622900303,0.024535475848407,0.42480234583571,-0.83001747988693,-0.82927512092999,0.82917678792996,0.83054572040372,-0.16644974522551,668.19959029911,-358,0.060498385860563,0.42443836043849
31.225000000058,-0.00020658863252996,668.63718458148,493.307084737,135.307084737,0.024420779175917,0.4248013305245,-0.83001747988693,-0.82927313889685,0.82918401468091,0.83054023746447,-0.20608476285522,668.43109981863,-358,0.060341841693416,0.42443289688021
31.230000000058,-9.1158776418736e-05,667.72123888547,492.71609036554,134.71609036554,0.024306505010255,0.42480061296159,-0.83001747988693,-0.82927173811112,0.82919062562953,0.83053538881793,-0.090936440163051,667.63030244531,-358,0.060187815450065,0.42442815252897
31.235000000058,-0.00014879564922106,668.22375014972,493.044514696,135.044514696,0.0241926525769,0.42480004870654,-0.83001747988693,-0.8292706366043,0.82919683624755,0.83052977583559,-0.14843273663261,668.07531741308,-358,0.060036448062775,0.42442348891262
31.240000000058,-0.00026063365890895,669.10638938059,493.61357299422,135.61357299422,0.024079221280386,0.42479895516313,-0.83001747988693,-0.82926850185069,0.82920216067728,0.83052247124214,-0.25999797341487,668.84639140717,-358,0.059887676317878,0.42441849354764
31.245000000058,-0.00026780707544642,669.10697379058,493.60872317092,135.60872317092,0.023966210552156,0.42479760269755,-0.83001747988693,-0.82926586164386,0.82920665003414,0.83051414249091,-0.26715389398941,668.83981989659,-358,0.059741270776829,0.42441356399625
