"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
718.62,1,0.3736,2.2876e-17,1,0.3736
718.82,1,0.3744,2.2925e-17,1,0.3744
719.02,1,0.3752,2.2974e-17,1,0.3752
719.22,1,0.376,2.3023e-17,1,0.376
719.42,1,0.3768,2.3072e-17,1,0.3768
719.62,1,0.3776,2.3121e-17,1,0.3776
719.82,1,0.3784,2.317e-17,1,0.3784
720.02,1,0.3792,2.3219e-17,1,0.3792
720.22,1,0.38,2.3268e-17,1,0.38
720.42,1,0.3808,2.3317e-17,1,0.3808
720.62,1,0.3816,2.3366e-17,1,0.3816
720.82,1,0.3824,2.3415e-17,1,0.3824
721.02,1,0.3832,2.3464e-17,1,0.3832
721.22,1,0.384,2.3513e-17,1,0.384
721.42,1,0.3848,2.3562e-17,1,0.3848
721.62,1,0.3856,2.3611e-17,1,0.3856
721.83,1,0.3864,2.366e-17,1,0.3864
722.03,1,0.3872,2.3709e-17,1,0.3872
722.23,1,0.388,2.3758e-17,1,0.388
722.43,1,0.3888,2.3807e-17,1,0.3888
722.63,1,0.3896,2.3856e-17,1,0.3896
722.83,1,0.3904,2.3905e-17,1,0.3904
723.03,1,0.3912,2.3954e-17,1,0.3912
723.23,1,0.392,2.4003e-17,1,0.392
723.43,1,0.3928,2.4052e-17,1,0.3928
723.63,1,0.3936,2.4101e-17,1,0.3936
723.83,1,0.3944,2.415e-17,1,0.3944
724.03,1,0.3952,2.4199e-17,1,0.3952
724.23,1,0.396,2.4248e-17,1,0.396
724.43,1,0.3968,2.4297e-17,1,0.3968
724.63,1,0.3976,2.4346e-17,1,0.3976
724.83,1,0.3984,2.4395e-17,1,0.3984
725.03,1,0.3992,2.4444e-17,1,0.3992
725.23,1,0.4,2.4493e-17,1,0.4
725.43,1,0.4008,2.4542e-17,1,0.4008
725.63,1,0.4016,2.4591e-17,1,0.4016
725.82,1,0.4024,2.464e-17,1,0.4024
726.02,1,0.4032,2.4689e-17,1,0.4032
726.22,1,0.404,2.4738e-17,1,0.404
726.42,1,0.4048,2.4787e-17,1,0.4048
726.62,1,0.4056,2.4836e-17,1,0.4056
726.82,1,0.4064,2.4885e-17,1,0.4064
727.02,1,0.4072,2.4934e-17,1,0.4072
727.22,1,0.408,2.4983e-17,1,0.408
727.41,1,0.4088,2.5032e-17,1,0.4088
727.61,1,0.4096,2.5081e-17,1,0.4096
727.81,1,0.4104,2.513e-17,1,0.4104
728.01,1,0.4112,2.5179e-17,1,0.4112
728.21,1,0.412,2.5228e-17,1,0.412
728.41,1,0.4128,2.5277e-17,1,0.4128
728.61,1,0.4136,2.5326e-17,1,0.4136
728.81,1,0.4144,2.5375e-17,1,0.4144
729,1,0.4152,2.5424e-17,1,0.4152
729.2,1,0.416,2.5473e-17,1,0.416
729.4,1,0.4168,2.5522e-17,1,0.4168
729.6,1,0.4176,2.5571e-17,1,0.4176
729.8,1,0.4184,2.562e-17,1,0.4184
730,1,0.4192,2.5669e-17,1,0.4192
730.2,1,0.42,2.5718e-17,1,0.42
730.4,1,0.4208,2.5767e-17,1,0.4208
