time,dP,inlet_P,inlet_V,outlet_P,outlet_V
6.7599999999999,-75.799662906416,-75.799662906416,0.18214234582726,0,0.18111595068004
6.7699999999999,269.42560498295,269.42560498295,0.18480061852157,0,0.18373781390361
6.7799999999999,116.6648445525,116.6648445525,0.18589188232221,0,0.18483579082733
6.7899999999999,-240.95435385056,-240.95435385056,0.18339285121925,0,0.18237340211304
6.7999999999999,-125.78282658734,-125.78282658734,0.18208315194495,0,0.18106066031333
6.8099999999999,240.319914681,240.319914681,0.18445224849969,0,0.18339301061323
6.8199999999999,163.25555214089,163.25555214089,0.18601521016708,0,0.18495516531835
6.8299999999999,-207.3887553482,-207.3887553482,0.18385050732659,0,0.18282667066327
6.8399999999999,-168.5564131789,-168.5564131789,0.18210713940549,0,0.18108766598166
6.8499999999999,202.72109676032,202.72109676032,0.18410090970434,0,0.18304585107882
6.8599999999999,201.84143071074,201.84143071074,0.18605561877027,0,0.18499251531913
6.8699999999999,-166.2157941029,-166.2157941029,0.18430253313564,0,0.18327372313847
6.8799999999999,-202.62559175453,-202.62559175453,0.18221256983298,0,0.18119507162309
6.8899999999999,158.46482069978,158.46482069978,0.18376323960189,0,0.18271271739479
6.8999999999999,231.12684004383,231.12684004383,0.18601654284451,0,0.18495130669865
6.9099999999999,-119.38638974107,-119.38638974107,0.18473281381735,0,0.18369862287312
6.9199999999999,-226.90347816691,-226.90347816691,0.18239443296451,0,0.18137780205928
6.9299999999999,109.59413006126,109.59413006126,0.18345472008122,0,0.18240889468964
6.9399999999999,250.240127739,250.240127739,0.18590451864985,0,0.18483815553894
6.9499999999999,-69.014725363811,-69.014725363811,0.18512666095418,0,0.18408694944867
6.9599999999999,-240.742477487,-240.742477487,0.18264474192372,0,0.18162790555576
6.9699999999999,58.269475092827,58.269475092827,0.18318907732164,0,0.18214794964583
6.9799999999999,258.75780587349,258.75780587349,0.18572883301088,0,0.18466240314319
6.9899999999999,-17.285100509381,-17.285100509381,0.18547138949745,0,0.18442629311364
6.9999999999999,-243.94424791038,-243.94424791038,0.18295298454311,0,0.18193497234162
7.0099999999999,6.6759662345001,6.6759662345001,0.18297779507445,0,0.18194122826087
7.0199999999999,256.7046122756,256.7046122756,0.18550103663699,0,0.18443561543772
7.0299999999999,33.639857781251,33.639857781251,0.18575675853945,0,0.18470668219084
7.0399999999999,-236.75142820919,-236.75142820919,0.18330664654008,0,0.18228661511909
7.0499999999999,-43.067355176708,-43.067355176708,0.18282972299549,0,0.18179743431817
7.0599999999999,244.53638805337,244.53638805337,0.18523439908311,0,0.1841710062374
7.0699999999999,81.706643307649,81.706643307649,0.1859753151317,0,0.18492084616884
7.0799999999999,-219.82379126374,-219.82379126374,0.18369180127869,0,0.1826689818894
7.0899999999999,-88.991178016539,-88.991178016539,0.18275083236363,0,0.18172230443856
7.0999999999999,223.10740467539,223.10740467539,0.18494334137638,0,0.18388277757941
7.1099999999999,125.05100051748,125.05100051748,0.18612263369284,0,0.18506439550018
7.1199999999999,-194.19543105921,-194.19543105921,0.18409375664328,0,0.18306738511702
7.1299999999999,-129.35147300375,-129.35147300375,0.18274408216172,0,0.18171851552103
7.1399999999999,193.62024459699,193.62024459699,0.1846427926337,0,0.18358557211944
7.1499999999999,162.06723325754,162.06723325754,0.18619736428937,0,0.18513598911142
7.1599999999999,-161.22038511653,-161.22038511653,0.1844976493324,0,0.18346703120318
7.1699999999999,-162.69521622054,-162.69521622054,0.1828093597044,0,0.18178579266647
7.1799999999999,157.56312413038,157.56312413038,0.18434751514158,0,0.18329396035006
7.1899999999999,191.46395407532,191.46395407532,0.18620114133147,0,0.18513735721106
7.1999999999999,-122.50631664138,-122.50631664138,0.18488902466111,0,0.18385369424073
7.2099999999999,-187.90640408152,-187.90640408152,0.18294357986281,0,0.18192106258526
7.2199999999999,116.64074260717,116.64074260717,0.18407150291885,0,0.18302184733938
7.2299999999999,212.30645475834,212.30645475834,0.18613840171207,0,0.1850730904792
7.2399999999999,-79.837459107625,-79.837459107625,0.18525441808106,0,0.18421418948701
7.2499999999999,-204.24023494267,-204.24023494267,0.18314092927132,0,0.18211855372007
7.2599999999999,72.696981856766,72.696981856766,0.18382746281936,0,0.18278181764371
7.2699999999999,224.04388655482,224.04388655482,0.18601615722394,0,0.18495026235579
7.2799999999999,-35.097371361727,-35.097371361727,0.18558191552098,0,0.18453682351642
7.2899999999999,-211.341467018,-211.341467018,0.18339322961691,0,0.18237012952692
7.2999999999999,27.635534515196,27.635534515196,0.1836263645151,0,0.18258467924019
7.3099999999999,226.51689774323,226.51689774323,0.18584361403508,0,0.18477807742797
7.3199999999999,9.81186265207,9.81186265207,0.18586157168846,0,0.18481186355556
7.3299999999999,-209.24382784455,-209.24382784455,0.18369034250795,0,0.18266571525994
7.3399999999999,-16.661754222771,-16.661754222771,0.18347702526179,0,0.18243909409895
7.3499999999999,219.95042978332,219.95042978332,0.18563170368165,0,0.18456742343946
7.3599999999999,53.048414186389,53.048414186389,0.18608574395735,0,0.18503184616429
7.3699999999999,-198.35735959781,-198.35735959781,0.18402064783882,0,0.18299378776029
