step= 119  t= 1.19000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.44e-02s eTime= 4.15599e+00s
step= 120  t= 1.20000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.40e-02s eTime= 4.18999e+00s
step= 121  t= 1.21000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.41e-02s eTime= 4.22413e+00s
step= 122  t= 1.22000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.49e-02s eTime= 4.25904e+00s
step= 123  t= 1.23000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 4.01e-02s eTime= 4.29916e+00s
step= 124  t= 1.24000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.62e-02s eTime= 4.33532e+00s
step= 125  t= 1.25000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 4.36919e+00s
step= 126  t= 1.26000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.31e-02s eTime= 4.40228e+00s
step= 127  t= 1.27000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.37e-02s eTime= 4.43596e+00s
step= 128  t= 1.28000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.35e-02s eTime= 4.46944e+00s
step= 129  t= 1.29000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 4.50419e+00s
step= 130  t= 1.30000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.42e-02s eTime= 4.53838e+00s
step= 131  t= 1.31000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.41e-02s eTime= 4.57250e+00s
step= 132  t= 1.32000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.44e-02s eTime= 4.60688e+00s
step= 133  t= 1.33000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.48e-02s eTime= 4.64165e+00s
step= 134  t= 1.34000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.58e-02s eTime= 4.67749e+00s
step= 135  t= 1.35000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 4.71137e+00s
step= 136  t= 1.36000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.35e-02s eTime= 4.74483e+00s
step= 137  t= 1.37000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.36e-02s eTime= 4.77844e+00s
step= 138  t= 1.38000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 5  S: 6  eTimeStep= 3.59e-02s eTime= 4.81437e+00s
step= 139  t= 1.39000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.38e-02s eTime= 4.84818e+00s
step= 140  t= 1.40000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.40e-02s eTime= 4.88219e+00s
step= 141  t= 1.41000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.43e-02s eTime= 4.91652e+00s
step= 142  t= 1.42000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.46e-02s eTime= 4.95116e+00s
step= 143  t= 1.43000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.48e-02s eTime= 4.98599e+00s
step= 144  t= 1.44000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.74e-02s eTime= 5.02334e+00s
step= 145  t= 1.45000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.59e-02s eTime= 5.05920e+00s
step= 146  t= 1.46000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.30e-02s eTime= 5.09221e+00s
step= 147  t= 1.47000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.35e-02s eTime= 5.12573e+00s
step= 148  t= 1.48000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.45e-02s eTime= 5.16025e+00s
step= 149  t= 1.49000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.36e-02s eTime= 5.19390e+00s
step= 150  t= 1.50000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 5.22778e+00s
step= 151  t= 1.51000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 5.26202e+00s
step= 152  t= 1.52000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.46e-02s eTime= 5.29657e+00s
step= 153  t= 1.53000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.55e-02s eTime= 5.33211e+00s
step= 154  t= 1.54000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.48e-02s eTime= 5.36691e+00s
step= 155  t= 1.55000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.45e-02s eTime= 5.40141e+00s
step= 156  t= 1.56000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.30e-02s eTime= 5.43441e+00s
step= 157  t= 1.57000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 5  S: 6  eTimeStep= 3.55e-02s eTime= 5.46995e+00s
step= 158  t= 1.58000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.41e-02s eTime= 5.50408e+00s
step= 159  t= 1.59000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.37e-02s eTime= 5.53773e+00s
step= 160  t= 1.60000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 5.57165e+00s
step= 161  t= 1.61000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 3  S: 6  eTimeStep= 3.58e-02s eTime= 5.60745e+00s
step= 162  t= 1.62000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.49e-02s eTime= 5.64235e+00s
step= 163  t= 1.63000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.46e-02s eTime= 5.67692e+00s
step= 164  t= 1.64000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 5  eTimeStep= 3.88e-02s eTime= 5.71570e+00s
